title,rating,user
"Crooked Letter, Crooked Letter",it was amazing,46000051-piratesteve
Hell at the Breech,it was amazing,46000051-piratesteve
Smonk,it was amazing,46000051-piratesteve
News of the World,it was amazing,46000051-piratesteve
The Elementals,it was amazing,46000051-piratesteve
Cup Of Gold,really liked it,46000051-piratesteve
Rivers,really liked it,46000051-piratesteve
Fay,really liked it,46000051-piratesteve
Bait,really liked it,46000051-piratesteve
Joe,it was amazing,46000051-piratesteve
The Coral Island,really liked it,46000051-piratesteve
Desperation Road,it was amazing,46000051-piratesteve
Venus in Furs,it was amazing,46000051-piratesteve
The Fountains of Neptune,it was amazing,46000051-piratesteve
"To Sail a Darkling Sea (Black Tide Rising, #2)",really liked it,46000051-piratesteve
Lovers' Tide,really liked it,46000051-piratesteve
"Stoned, Naked, and Looking in My Neighbor's Window: The Best Confessions from Grouphug.Us",liked it,46000051-piratesteve
The Turquoise Shroud (Seth Halliday #1),really liked it,46000051-piratesteve
"Odalisque (Comfort, #3)",really liked it,46000051-piratesteve
"Under a Graveyard Sky (Black Tide Rising, #1)",really liked it,46000051-piratesteve
The Reader,really liked it,46000051-piratesteve
Adrift,it was amazing,46000051-piratesteve
Gerald's Game,it was amazing,46000051-piratesteve
The Last Days of Dietrich Bonhoeffer,liked it,46000051-piratesteve
The Fan-Maker's Inquisition,liked it,46000051-piratesteve
The North Water,really liked it,46000051-piratesteve
The Road,really liked it,46000051-piratesteve
"Orphan X (Orphan X, #1)",really liked it,46000051-piratesteve
In the Palm of Darkness: A Novel,really liked it,46000051-piratesteve
The Ocean at the End of the Lane,really liked it,46000051-piratesteve
A Head Full of Ghosts,really liked it,46000051-piratesteve
"Florida Roadkill (Serge Storms, #1)",really liked it,46000051-piratesteve
The Haunted Vagina,really liked it,46000051-piratesteve
Galápagos,really liked it,46000051-piratesteve
"The Girl in 6E (Deanna Madden, #1)",really liked it,46000051-piratesteve
"The Gunslinger (The Dark Tower, #1)",really liked it,46000051-piratesteve
"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",liked it,46000051-piratesteve
"Storm Front (The Dresden Files, #1)",liked it,46000051-piratesteve
Bad Monkey,really liked it,46000051-piratesteve
A Walk in the Woods: Rediscovering America on the Appalachian Trail ,it was amazing,46000051-piratesteve
Maestra (Maestra #1),really liked it,46000051-piratesteve
Something Forbidden,really liked it,46000051-piratesteve
The Last Night I Spent With You: A Novel,liked it,46000051-piratesteve
Don Quixote,really liked it,46000051-piratesteve
The Lovely Bones,it was ok,46000051-piratesteve
Suffer the Flesh,really liked it,46000051-piratesteve
Clown Tear Junkies,liked it,46000051-piratesteve
Three Days of the Condor,really liked it,46000051-piratesteve
The Hotwife Coach - Series Collection: Cuckolded Husband and His Hotwife,liked it,46000051-piratesteve
S.,it was ok,46000051-piratesteve
Seduction of the Minotaur (Cities of the Interior #5),liked it,46000051-piratesteve
The Jade Cabinet,liked it,46000051-piratesteve
The Crocodile Bird,liked it,46000051-piratesteve
Nine and a Half Weeks: A Memoir of a Love Affair,really liked it,46000051-piratesteve
Close to Shore: A True Story of Terror in An Age of Innocence,really liked it,46000051-piratesteve
The Pelican Brief,liked it,46000051-piratesteve
Alive: The Story of the Andes Survivors,liked it,46000051-piratesteve
Patriotic Fire: Andrew Jackson and Jean Laffite at the Battle of New Orleans,it was amazing,46000051-piratesteve
The Guns of the South,really liked it,46000051-piratesteve
"War Against the Mafia (The Executioner, #1)",really liked it,46000051-piratesteve
The Sun Also Rises,liked it,46000051-piratesteve
Story of the Eye,really liked it,46000051-piratesteve
The Snows of Kilimanjaro and Other Stories,really liked it,46000051-piratesteve
A Spy in the House of Love (Cities of the Interior #4),liked it,46000051-piratesteve
"Heartsick (Archie Sheridan & Gretchen Lowell, #1)",liked it,46000051-piratesteve
The Importance of Being Earnest,liked it,46000051-piratesteve
The Nelson Touch: The Life And Legend Of Horatio Nelson,really liked it,46000051-piratesteve
The Rime of the Ancient Mariner,really liked it,46000051-piratesteve
The Sex Lives of Cannibals: Adrift in the Equatorial Pacific,really liked it,46000051-piratesteve
"Empire of Storms (Throne of Glass, #5)",it was amazing,52254742-ng-th-winged-dem-n
"Outlander (Outlander, #1)",it was amazing,52254742-ng-th-winged-dem-n
"The Falconer (The Falconer, #1)",it was amazing,52254742-ng-th-winged-dem-n
"Truthwitch (The Witchlands, #1)",really liked it,52254742-ng-th-winged-dem-n
Rebecca,really liked it,52254742-ng-th-winged-dem-n
Matilda,it was amazing,52254742-ng-th-winged-dem-n
"The Lightning Thief (Percy Jackson and the Olympians, #1)",it was amazing,52254742-ng-th-winged-dem-n
"A Tyranny of Petticoats (A Tyranny of Petticoats, #1)",it was amazing,52254742-ng-th-winged-dem-n
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",it was amazing,52254742-ng-th-winged-dem-n
"The Raven Boys (The Raven Cycle, #1)",really liked it,52254742-ng-th-winged-dem-n
Through the Woods,it was amazing,52254742-ng-th-winged-dem-n
"Maresi (The Red Abbey Chronicles, #1)",it was amazing,52254742-ng-th-winged-dem-n
"Inkheart (Inkworld, #1)",it was amazing,52254742-ng-th-winged-dem-n
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",it was amazing,52254742-ng-th-winged-dem-n
"Heir of Fire (Throne of Glass, #3)",it was amazing,52254742-ng-th-winged-dem-n
The Witches,it was amazing,52254742-ng-th-winged-dem-n
Sing Down The Moon,really liked it,52254742-ng-th-winged-dem-n
The Giraffe and the Pelly and Me,it was amazing,52254742-ng-th-winged-dem-n
Danny the Champion of the World,it was amazing,52254742-ng-th-winged-dem-n
The BFG,it was amazing,52254742-ng-th-winged-dem-n
The Hobbit,it was amazing,52254742-ng-th-winged-dem-n
"Inkspell (Inkworld, #2)",it was amazing,52254742-ng-th-winged-dem-n
The Phantom Tollbooth,it was amazing,52254742-ng-th-winged-dem-n
George's Marvelous Medicine,really liked it,52254742-ng-th-winged-dem-n
Tuck Everlasting,it was amazing,52254742-ng-th-winged-dem-n
Pippi Longstocking,it was amazing,52254742-ng-th-winged-dem-n
"Hourglass (Hourglass, #1)",really liked it,1817343-christie
Solstice,really liked it,1817343-christie
"Night Shift (Midnight, Texas, #3)",really liked it,1817343-christie
The Elementals,really liked it,1817343-christie
"Shatter Me (Shatter Me, #1)",it was ok,1817343-christie
The Hating Game,it was amazing,1817343-christie
"Red Rising (Red Rising, #1)",really liked it,1817343-christie
"Ashfall (Ashfall, #1)",liked it,1817343-christie
"Anna and the French Kiss (Anna and the French Kiss, #1)",it was amazing,1817343-christie
So Shelly,it was ok,1817343-christie
"Illuminae (The Illuminae Files, #1)",really liked it,1817343-christie
"Perfect Chemistry (Perfect Chemistry, #1)",liked it,1817343-christie
Dark Matter,it was amazing,1817343-christie
"Fourth Grave Beneath My Feet (Charley Davidson, #4)",really liked it,1817343-christie
Crosstalk,it was ok,1817343-christie
"Outlander (Outlander, #1)",it was amazing,1817343-christie
"Fire Touched (Mercy Thompson, #9)",it was amazing,1817343-christie
Fangirl,it was amazing,1817343-christie
"Golden Son (Red Rising, #2)",really liked it,1817343-christie
One Moment,really liked it,1817343-christie
"City of Bones (The Mortal Instruments, #1)",liked it,1817343-christie
"The Kill Order (Maze Runner, #0.5)",really liked it,1817343-christie
"Magic Burns (Kate Daniels, #2)",liked it,1817343-christie
The Hitchhiker's Guide to the Galaxy,it was amazing,1817343-christie
Beauty Queens,liked it,1817343-christie
Landline,it was amazing,1817343-christie
"Vérité (Love at Center Court, #1)",really liked it,1817343-christie
"Under the Never Sky (Under the Never Sky, #1)",really liked it,1817343-christie
"Red Queen (Red Queen, #1)",liked it,1817343-christie
"A Need So Beautiful (A Need So Beautiful, #1)",really liked it,1817343-christie
The Light of Asteria,really liked it,1817343-christie
"Magic Bites (Kate Daniels, #1)",liked it,1817343-christie
"Pivot Point (Pivot Point, #1)",really liked it,1817343-christie
"Simply Irresistible (Lucky Harbor, #1)",really liked it,1817343-christie
"Dust (Dust, #1)",really liked it,1817343-christie
"First Drop of Crimson (Night Huntress World, #1)",really liked it,1817343-christie
"Deception (Haunting Emma, #1)",liked it,1817343-christie
"Hold Me Closer, Necromancer (Necromancer, #1)",really liked it,1817343-christie
"In the After (In the After, #1)",really liked it,1817343-christie
Indelible,liked it,1817343-christie
Married at Midnight,liked it,1817343-christie
"Day Shift (Midnight, Texas, #2)",really liked it,1817343-christie
The Language of Souls,it was amazing,1817343-christie
"This Side of the Grave (Night Huntress, #5)",liked it,1817343-christie
"First Grave on the Right (Charley Davidson, #1)",really liked it,1817343-christie
"Feverborn (Fever, #8)",liked it,1817343-christie
"Wayward (Wayward Pines, #2)",really liked it,1817343-christie
"The Fever Code (The Maze Runner, #0.6)",liked it,1817343-christie
"Dragon Bones (Hurog, #1)",liked it,1817343-christie
Berserker (Berserker #1),really liked it,1817343-christie
"Charlaine Harris' Grave Surprise (Harper Connelly graphic novels, #2)",really liked it,1817343-christie
"White-Hot Hack (Kate and Ian, #2)",liked it,1817343-christie
"Hunting Ground (Alpha & Omega, #2)",really liked it,1817343-christie
"Scorched (Rulers of the Sky, #1)",really liked it,1817343-christie
The Road,it was amazing,1817343-christie
The 12 Dares of Christmas,really liked it,1817343-christie
"It's Pumpkin Day, Mouse! (If You Give...)",it was amazing,1817343-christie
"Third Grave Dead Ahead (Charley Davidson, #3)",really liked it,1817343-christie
"Beautiful Creatures (Caster Chronicles, #1)",liked it,1817343-christie
"No Mercy (Dark-Hunter #18, Were-Hunter, #5)",really liked it,1817343-christie
Dead to You,really liked it,1817343-christie
"Born at Midnight (Shadow Falls, #1)",really liked it,1817343-christie
"Firefly Lane (Firefly Lane, #1)",it was ok,1817343-christie
