title,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
'Salem's Lot,'Salem's Lot,Pet Sematary,The Stand,Carrie,The Dead Zone,It,Misery,Firestarter,Needful Things,Night Shift,The Shining (The Shining #1),Cujo,Christine,The Tommyknockers,The Dark Half
11/22/63,11/22/63,Joyland,"Doctor Sleep (The Shining, #2)",Under the Dome,The Stand,"Mr. Mercedes (Bill Hodges Trilogy, #1)",Revival,"Finders Keepers (Bill Hodges Trilogy, #2)","Full Dark, No Stars",'Salem's Lot,Pet Sematary,"The Gunslinger (The Dark Tower, #1)",The Dead Zone,It,NOS4A2
"13 Little Blue Envelopes (Little Blue Envelope, #1)","13 Little Blue Envelopes (Little Blue Envelope, #1)","The Name of the Star (Shades of London, #1)","I'd Tell You I Love You, But Then I'd Have to Kill You (Gallagher Girls, #1)",An Abundance of Katherines,"Anna and the French Kiss (Anna and the French Kiss, #1)",Along for the Ride,"A Great and Terrible Beauty (Gemma Doyle, #1)","Lola and the Boy Next Door (Anna and the French Kiss, #2)","If I Stay (If I Stay, #1)",Amy & Roger's Epic Detour,The Statistical Probability of Love at First Sight,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",Let It Snow: Three Holiday Romances,Beauty Queens,Speak
1984,1984,Animal Farm,Fahrenheit 451,Brave New World,Lord of the Flies,The Great Gatsby,To Kill a Mockingbird,The Catcher in the Rye,The Hobbit,The Handmaid's Tale,Of Mice and Men,The Picture of Dorian Gray,Frankenstein,Jane Eyre,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)"
1Q84,1Q84,The Wind-Up Bird Chronicle,Colorless Tsukuru Tazaki and His Years of Pilgrimage,Kafka on the Shore,Norwegian Wood,After Dark,Never Let Me Go,1984,One Hundred Years of Solitude,Slaughterhouse-Five,Brave New World,The Handmaid's Tale,Cat's Cradle,Life of Pi,The Blind Assassin
"1st to Die (Women's Murder Club, #1)","1st to Die (Women's Murder Club, #1)","2nd Chance (Women's Murder Club, #2)","3rd Degree (Women's Murder Club, #3)","Along Came a Spider (Alex Cross, #1)","Kiss the Girls (Alex Cross, #2)",The Beach House,"One for the Money (Stephanie Plum, #1)","The Surgeon (Rizzoli & Isles, #1)","Postmortem (Kay Scarpetta, #1)","The Apprentice (Rizzoli & Isles, #2)","Two for the Dough (Stephanie Plum, #2)","Déjà Dead (Temperance Brennan, #1)","Three to Get Deadly (Stephanie Plum, #3)","A is for Alibi (Kinsey Millhone, #1)","The Bone Collector (Lincoln Rhyme, #1)"
"2001: A Space Odyssey (Space Odyssey, #1)","2001: A Space Odyssey (Space Odyssey, #1)","Rendezvous with Rama (Rama, #1)",Childhood's End,"I, Robot (Robot #0.1)",Starship Troopers,The War of the Worlds,Do Androids Dream of Electric Sheep?,Foundation (Foundation #1),The Martian Chronicles,Neuromancer,The Time Machine,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Dune (Dune Chronicles #1),Stranger in a Strange Land,"Hyperion (Hyperion Cantos, #1)"
2015 on Goodreads,2015 on Goodreads,2016 on Goodreads,The Egg,The Plague,Our Souls at Night,The Remains of the Day,1984,The Sense of an Ending,Stoner,A Christmas Carol,To Kill a Mockingbird,Pride and Prejudice,A Portrait of the Artist as a Young Man,Jane Eyre,Wide Sargasso Sea
2016 on Goodreads,2016 on Goodreads,2015 on Goodreads,Dark Matter,Animal Farm,To Kill a Mockingbird,1984,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",Pride and Prejudice,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",A Gentleman in Moscow,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)","Harry Potter and the Half-Blood Prince (Harry Potter, #6)","Harry Potter and the Deathly Hallows (Harry Potter, #7)",The Great Gatsby,Jane Eyre
"2nd Chance (Women's Murder Club, #2)","2nd Chance (Women's Murder Club, #2)","3rd Degree (Women's Murder Club, #3)","1st to Die (Women's Murder Club, #1)","Along Came a Spider (Alex Cross, #1)","Kiss the Girls (Alex Cross, #2)",The Beach House,"The Apprentice (Rizzoli & Isles, #2)","Déjà Dead (Temperance Brennan, #1)","The Surgeon (Rizzoli & Isles, #1)","Postmortem (Kay Scarpetta, #1)","One for the Money (Stephanie Plum, #1)","A is for Alibi (Kinsey Millhone, #1)","Two for the Dough (Stephanie Plum, #2)","Blindsighted (Grant County, #1)","Die Trying (Jack Reacher, #2)"
